area,bb_ratio,falling,hue1,hue2,hue3,hue4,hue5,hue6,hue7,position,variance
1085,1.1290322580645162,0,0.0011159495852093308,1.1779808813689021e-07,9.063695377643096e-12,1.453126691266826e-11,1.4656287553220425e-22,-4.946917134359523e-15,7.956298248513639e-23,2,8633.028817770606
1023,1.064516129032258,0,0.0010518493111530327,6.232576901043221e-07,2.0579320876808519e-10,2.200507774801216e-11,7.126969279898069e-23,2.133262935075821e-15,1.4790957909456511e-21,2,7634.773522759522
1702,1.2432432432432432,0,0.0010631372978541827,1.1115485652090845e-07,1.7100406090665977e-11,2.17980856236537e-11,4.134795272732948e-22,7.216712867996929e-15,7.843587045533776e-23,2,8547.987756506827
1085,1.1290322580645162,0,0.0008276811395711327,3.52657177714075e-08,2.1865866551300914e-11,2.9160325772277024e-13,-4.615156102980894e-25,1.7764630312676855e-17,-5.737453565232547e-25,2,7038.922763278047
945,1.2962962962962963,0,0.001426839142799488,1.8004679112215312e-07,1.8415673372581615e-10,1.1811117414028891e-10,1.083017473952116e-20,4.7970256063592445e-14,-1.364326739761104e-20,2,12320.181405895692
810,1.1111111111111112,0,0.001589682973733074,1.0230618235635088e-07,3.0083003484659005e-11,9.073080343564913e-11,-4.112161076052153e-21,-2.646583952424556e-14,2.3577998761710785e-21,2,11238.88888888889
1312,1.28125,0,0.0008842744656470669,8.942377418934098e-08,9.137663297196462e-12,1.5873037464191901e-12,1.2833042439103412e-24,4.464942989437003e-16,5.907373553513333e-24,2,4409.785841760857
1287,1.1818181818181819,0,0.0009090519601407921,4.3814857470977155e-08,3.170656104985518e-13,9.470552743154768e-12,1.408217753720264e-23,-4.888767018117159e-17,-8.427117919009181e-24,2,5742.830945278499
896,1.1428571428571428,0,0.001048494149100122,3.6390179764933555e-08,3.991393883527697e-12,1.1021060506931965e-12,-1.6252017698619212e-24,-1.945684644895176e-16,-1.6437265551418065e-24,2,6671.490353954082
918,1.2592592592592593,0,0.0008689189961698966,4.036534704366919e-07,8.231728350723367e-11,6.994278990810687e-12,-1.109122110915528e-22,-3.8777651507258285e-15,1.2595292120825982e-22,2,7336.496913580248
1073,1.2758620689655173,0,0.001088655090518293,3.497474720217542e-08,9.863301185962389e-11,3.30395620435775e-11,1.8720622103048956e-21,5.11443658916877e-15,2.296108769098915e-22,2,7466.532198876255
1292,1.1176470588235294,0,0.0009731165665812706,2.4465452878453204e-08,6.96803318327331e-12,4.806974365535509e-12,-2.07136284206319e-23,1.1685149563349203e-17,-1.8571975483428123e-23,2,5519.472818559557
1404,1.0833333333333333,0,0.0008549862933533896,7.679319155903885e-09,3.028468304535587e-11,1.172157947289316e-12,3.6041816980642855e-24,8.008106884770292e-17,-5.981897341367834e-24,2,4773.387391336109
832,1.2307692307692308,0,0.001072029276538277,2.4852280643499278e-08,1.4194094713926232e-11,7.302564925313686e-12,6.872810410919488e-24,-4.659014457559529e-16,-7.402925786221775e-23,2,6876.141249075443
1023,1.064516129032258,0,0.0009508901163243239,7.280469918775993e-10,1.960263691908337e-12,5.622097796292803e-13,5.787534764013256e-25,1.2247285121043516e-17,-1.157129883511549e-25,2,5373.966942148761
832,1.2307692307692308,0,0.0010242145421054225,3.349577676259009e-08,5.444704295741438e-11,1.1391580384062837e-11,-2.822646106292557e-22,1.144107219939695e-15,-2.852685287433014e-23,2,7345.071537536982
972,1.3333333333333333,0,0.0013319709159152577,1.5139504903343496e-07,1.3352341357573934e-10,5.661802511343412e-11,3.1888890917970245e-21,2.0599690028390196e-14,-3.75030526346193e-21,2,10665.91863854595
870,1.0344827586206897,0,0.0009112344908699679,3.3336014157216666e-08,2.0210973363286597e-11,2.3559704214901454e-12,1.5082759122410522e-23,-3.871602050439931e-16,-6.067133933810917e-24,2,6325.096611177171
899,1.0689655172413792,0,0.0013307856686178656,8.980336383912746e-08,2.932440540588275e-11,8.61617131561718e-11,-4.238765331796595e-21,1.61282413460474e-14,8.889595561616382e-22,2,9230.770872592338
1188,1.6296296296296295,0,0.001057524487599097,1.8529536406145175e-07,6.528365703736902e-12,2.9291859387917476e-12,-6.072738949112284e-24,-1.1226887949602749e-15,-1.127820602413443e-23,2,4691.854625803489
1386,1.2727272727272727,0,0.0011742343268336636,1.1301041253079454e-07,5.1136767742339714e-11,3.392637308122636e-11,1.544932252543428e-22,3.111417923290366e-15,-1.4046289366443892e-21,2,9880.469467401286
1152,1.125,0,0.0013014751387013849,5.1418935475342656e-08,6.438522515604431e-11,2.582213549299179e-12,-3.16920301520984e-23,2.7173684168854664e-16,-1.0207061866173858e-23,2,10592.119683159723
1610,1.3142857142857143,0,0.0009057945429506,7.069911222940524e-08,4.698094277443008e-12,4.3613204876926e-12,1.592101536294451e-23,-6.674870752330616e-16,-1.1673129153516914e-23,2,5095.836734693877
1221,1.121212121212121,0,0.0011382943652649912,3.075639145513281e-08,2.9232634733317696e-11,4.86848156260737e-11,-1.815619276760936e-21,-3.4836257732755833e-15,-2.7708626149383413e-22,2,8798.63325465291
1406,1.027027027027027,0,0.0008714901110448615,1.6217644852680422e-07,2.3164475522067572e-12,6.337865692908348e-12,2.2058631055284623e-23,2.524624309093882e-15,1.0156010504182389e-23,2,4532.720468465771
858,1.2692307692307692,0,0.0008191661737290969,4.4661760029294915e-09,2.561397520788274e-11,4.304931637598504e-12,-4.507013597164003e-23,2.825893559431916e-16,-3.4911482097587635e-24,2,6811.264609516357
1862,1.2894736842105263,0,0.0010196285756929652,8.420457781951604e-08,4.390857845571422e-12,7.197297036824825e-12,3.6868585107417373e-23,3.6018391863782344e-16,-1.6665571455240308e-23,2,6069.023006342003
1184,1.15625,0,0.000980392156862745,2.402921953094963e-07,1.060112626365425e-09,1.1779029181838056e-10,4.162365853997774e-20,5.774033912665714e-14,0.0,2,5878.594787909742
1224,1.0588235294117647,0,0.000980392156862745,9.611687812379853e-07,0.0,0.0,0.0,0.0,0.0,2,6172.743055555555
1551,1.4242424242424243,0,0.0012738649006430597,3.164811366082696e-07,5.84734087369373e-11,1.1994445528458006e-11,1.257973874411715e-22,4.080955455347298e-15,2.916793166257333e-22,2,9805.861071723864
1870,1.6176470588235294,1,0.0010555966401250775,2.1044953255588166e-07,1.1999077295456241e-11,9.00509881656416e-12,1.4909505370252357e-23,1.245626435079279e-15,-9.24116303726595e-23,3,6856.06611570248
1480,1.0810810810810811,1,0.0009331484160138113,3.748165437206052e-08,7.439629694722005e-13,5.370390386083768e-12,6.714988501957868e-24,2.1214817713161334e-16,-8.374951479868005e-24,3,4807.972961559532
2160,1.35,1,0.000905128323816068,1.3119225316984974e-07,7.013734647515736e-12,7.401416725164668e-12,-1.9486384581333668e-23,-2.073314132932687e-15,-4.9639169122347327e-23,3,5191.83984375
1560,1.7333333333333334,1,0.001146986497801514,4.042095404962995e-07,7.37528850083768e-12,5.5364011492254225e-12,-1.8250223284202518e-23,-2.2605705768290555e-15,-3.0307064149884343e-23,3,6443.823594674556
1813,1.3243243243243243,1,0.0009977512776985261,6.504151879839627e-08,1.4535293535834892e-12,5.525774261898792e-12,6.913427804196946e-24,5.233597573743345e-17,-1.40517346027587e-23,3,5641.73852871749
1925,1.5714285714285714,1,0.001056499031372624,1.61396760165222e-07,2.2287923347845635e-12,2.9174676926726043e-12,5.755951934938559e-25,-1.1422326934780662e-15,7.417202003056683e-24,3,6608.163157362118
1820,1.4857142857142858,1,0.001006623263938495,1.86969814639621e-07,4.0376923338731784e-13,4.022959064531536e-12,-3.68690363065782e-24,-1.4530496785466004e-15,3.563074419582908e-24,3,6164.281268868493
